ID,Time,Distance
135051,17519,2273,1
1308960,19428,1647,1
284296,18551,1341,1
996268,20925,1738,1
1570579,18678,2165,1
1207462,18683,1197,1
559950,17073,2115,1
440242,7203,917,1
609983,17982,2055,1
639730,19008,1437,1
1346459,20034,1311,1
1456874,22198,2411,1
461178,18716,1126,1
1023008,18081,1013,1
1319602,18546,2296,1
1525975,15922,1090,1
560979,18235,1521,1
2005820,19037,1114,1
173339,15760,1820,1
33357,11854,1293,1
1013683,20666,1397,1
891183,18636,1522,1
272299,7643,696,1
959295,19201,1607,1
103422,19239,1412,1
943737,17495,1776,1
2046348,18822,1558,1
1509021,20137,2296,1
993195,17550,1958,1
674952,19421,1470,1
1058571,17029,1207,1
1991646,20607,2296,1
731282,19816,1535,1
736972,19637,2704,1
275317,20522,2020,1
1861552,20110,2230,1
1675667,16089,1363,1
1511397,20756,1306,1
863925,20843,2145,1
338530,18892,2206,1
370786,21586,1582,1
1590133,19453,1657,1
1745223,17987,2064,1
500451,16885,1899,1
720589,8098,873,1
1417243,18612,2359,1
925094,19239,1601,1
521397,19159,1466,1
1292929,19166,1906,1
1921770,16142,1602,1
2068577,18769,2026,1
1093721,17987,2064,1
1363807,17351,1432,1
863916,16680,1919,1
618897,19792,1195,1
1396757,17672,2174,1
274045,18601,1210,1
1264051,19850,1488,1
420615,6914,778,1
942451,18518,1818,1
731228,17178,1759,1
1616474,19276,1787,1
99118,20328,1144,1
1127694,17987,2064,1
1058549,18084,2536,1
1945731,19346,1972,1
560932,9331,1351,1
1209234,16521,2321,1
1562922,18062,1592,1
1278658,16948,1274,1
230498,18040,1368,1
744541,19884,2178,1
1174886,21938,2575,1
2010383,18082,2095,1
1534016,17630,1750,1
1841960,19353,1907,1
1045234,20598,1670,1
263393,18807,1990,1
757845,17920,1881,1
778784,21009,2015,1
943772,22242,2277,1
1286289,18486,1387,1
487752,16090,2405,1
1336232,21191,1406,1
147024,7337,641,1
442891,20461,1659,1
127426,18909,2583,1
1607547,16090,1363,1
520054,22412,1603,1
1642758,19782,1473,1
996258,19808,1215,1
659383,19920,1691,1
461118,19454,1657,1
37693,17121,1723,1
1155666,19326,2700,1
941146,19638,2704,1
1988049,19158,1466,1
522711,16551,1633,1
1312277,18732,2033,1
1667161,17577,1158,1
1414174,17643,1721,1
152338,20448,1571,1
1759022,16364,1655,1
1451127,18678,1777,1
977105,19526,1280,1
1094296,20173,1698,1
1180630,18527,1779,1
590879,7276,483,1
1626629,19091,2424,1
2089499,21893,2030,1
644244,15638,2297,1
1304658,17986,2064,1
393354,17987,2064,1
1255142,17396,1783,1
1558970,16346,1484,1
119750,18314,1531,1
86614,18070,1852,1
806422,20779,1339,1
1142347,19444,1539,1
1688081,21038,1809,1
1903939,18521,1228,1
253140,18869,1704,1
1342819,18907,1676,1
1940081,21591,1982,1
1936854,18371,1983,1
168703,16273,1299,1
1439498,17627,2100,1
1640943,20715,2351,1
496679,20870,2394,1
668211,17452,1563,1
757027,16554,1436,1
224606,10312,962,1
839308,20331,2050,1
1797310,19997,1937,1
2044683,17947,1992,1
11053,20379,1623,1
1614660,8754,562,1
986021,17987,2064,1
1521668,19090,2424,1
816686,19170,1826,1
1660523,16363,1853,1
246860,19362,1638,1
143415,18546,1703,1
1342832,21572,1954,1
1423904,17396,1783,1
1300247,17571,1619,1
1108472,19158,1466,1
1520389,17030,1236,1
105151,19075,1975,1
669571,20868,1657,1
1940907,19617,1551,1
1685871,17423,1132,1
2081562,19158,1466,1
173232,17561,1223,1
1860181,17987,2064,1
1138286,21593,2827,1
2032678,21446,1695,1
1562186,8097,873,1
520109,20480,1874,1
1156947,18405,1585,1
875863,18545,1703,1
1578523,17987,2064,1
1807119,19384,1245,1
1085383,14061,848,1
1557603,17601,1706,1
1452427,18716,2292,1
832725,19267,1557,1
309261,16783,1691,1
1859190,20369,1712,1
1736353,19756,1761,1
1562191,16383,1413,1
1737684,19283,1687,1
1326863,22198,2411,1
827389,17874,1372,1
1143639,18663,1628,1
1749640,20917,2028,1
670542,19638,2704,1
1789736,14061,848,1
73365,19618,1217,1
649981,18769,2026,1
1202675,15726,1650,1
708080,18696,1860,1
2080257,18427,1607,1
1243186,15103,1362,1
1252903,16513,1703,1
1536714,19139,1662,1
587206,17599,1226,1
1763939,16851,1587,1
1603900,19817,1730,1
1944495,15639,2297,1
619203,18039,1819,1
232274,16804,1106,1
1922244,15914,1841,1
1448389,18702,978,1
786425,19907,1554,1
1788413,17589,1803,1
596157,16534,2013,1
969502,18141,1276,1
870188,17709,1775,1
555649,22217,1369,1
1609200,11091,1586,1
1452405,18541,2350,1
974088,18619,2148,1
998036,17286,1631,1
1828090,19421,1470,1
236660,8977,593,1
749491,19453,1657,1
372482,16491,2275,1
1973863,17851,1413,1
1295204,18820,1676,1
989161,14061,848,1
970547,20930,1504,1
1461327,18841,1960,1
1517572,18807,1810,1
1690345,18497,1658,1
2044615,16722,1687,1
1391811,7277,483,1
1264945,16484,1209,1
753509,18542,2350,1
662057,17547,2352,1
1760095,16297,1896,1
2057936,21003,1885,1
1297877,17217,2264,1
273602,15853,1364,1
1322472,12268,1379,1
2020630,20142,1623,1
602428,20619,2279,1
1588767,18637,1780,1
707627,18907,1676,1
1706569,8456,791,1
1652057,16060,1534,1
1690335,19346,1972,1
1636826,18370,1983,1
1764441,16846,1681,1
1631132,18025,2330,1
1791156,20136,2298,1
1813824,21892,1828,1
1297867,15922,1090,1
156781,18401,1397,1
969531,19089,1139,1
1537168,20312,1416,1
19843,17599,1226,1
133205,20573,1861,1
1051158,17609,2125,1
699326,16383,1413,1
1399755,17942,2145,1
1522908,21893,1828,1
1357916,15680,1593,1
688673,19817,2233,1
401428,17986,2064,1
958886,16323,2185,1
610043,19181,1465,1
168789,20597,1670,1
250943,21572,1954,1
1341575,6148,564,1
829110,20926,1738,1
1698283,20994,2115,1
1960538,20221,1576,1
1217734,20045,1728,1
1108483,17583,2259,1
1310461,19577,1475,1
111845,14022,1543,1
467299,17785,1438,1
1297882,18400,1551,1
1309481,21181,1626,1
1912012,17942,2145,1
1677351,19265,1234,1
1128912,20779,1339,1
2019668,17985,1715,1
1811210,18285,1345,1
1562105,18822,1556,1
560114,18082,2207,1
1706538,18400,1551,1
1830372,17142,1518,1
1635527,7050,813,1
1759070,16378,1522,1
1981451,6204,526,1
947320,17728,1785,1
1378878,16512,1789,1
189670,18569,1038,1
506678,15998,1739,1
1141064,18907,1676,1
1492679,18541,2350,1
1087978,18860,3135,1
433010,21490,1535,1
843401,18400,1551,1
15466,20196,2269,1
1365563,19032,1928,1
1272536,20700,1682,1
1739457,17452,1563,1
705880,22050,1937,1
132781,18486,1387,1
2045913,20735,1713,1
1258290,19167,1906,1
460630,20964,1914,1
1980139,20566,1859,1
1528279,8309,714,1
903769,20918,1796,1
910050,16851,1587,1
783306,20221,1576,1
885299,17985,1715,1
74616,17728,1785,1
1971223,21053,2139,1
74613,20110,2409,1
1821472,20926,1738,1
1225393,17410,1579,1
289181,17634,1583,1
1165018,17808,1539,1
1510967,18758,2722,1
1027483,6311,704,1
1154392,20085,1913,1
156751,19806,1615,1
380915,19836,1629,1
481534,6862,743,1
130142,17884,1173,1
1813844,11657,1127,1
1283210,17893,2235,1
62641,18401,1397,1
91182,18678,1777,1
295863,18542,2350,1
573455,20995,2115,1
2042862,18706,2308,1
1976906,17153,1172,1
897257,20607,2297,1
793595,19131,1547,1
345707,20460,1659,1
179386,18208,1631,1
113536,18546,2296,1
1216465,20926,1738,1
1772919,17432,1892,1
1692925,18281,1485,1
770923,21490,1535,1
193689,19817,2233,1
1174742,16091,2405,1
764255,17986,2064,1
1906865,20625,2014,1
33417,19197,1890,1
1081674,17747,1400,1
1758610,18908,1676,1
1873607,18281,2116,1
408230,20626,2014,1
653975,19836,1629,1
983693,18611,1970,1
892578,20620,1443,1
145135,18062,1425,1
1470439,21037,1809,1
467470,7720,946,1
1901189,22068,2734,1
884921,21744,1937,1
1848663,17610,2125,1
87264,17913,1405,1
1001533,19497,1364,1
1559270,18521,1228,1
1389673,18886,1865,1
571588,20536,1850,1
892547,19369,1536,1
1446794,17893,2235,1
1846010,17599,1226,1
247384,20156,2086,1
1449824,18704,1862,1
1196999,20071,1537,1
538957,17986,2064,1
1103520,19014,1524,1
1432187,17942,2145,1
1755554,16478,1536,1
1141828,14061,848,1
479433,19997,1937,1
752256,16357,1267,1
705064,19162,1651,1
414954,17921,2345,1
1988755,17809,1539,1
570267,22355,1595,1
835984,18887,1865,1
1527648,18400,2186,1
1014820,19201,1607,1
744631,16242,1471,1
1035740,21938,2575,1
684239,17972,1472,1
1170377,18907,1676,1
849738,20019,1427,1
1604354,17678,1211,1
551928,19496,1941,1
1219503,8674,609,1
703296,17571,1619,1
101592,16746,1225,1
919935,17927,1894,1
1379445,17576,1158,1
593798,11125,1484,1
618704,19986,2099,1
1595784,21892,2030,1
1148414,20689,1975,1
1603013,15251,1562,1
1218201,22356,1595,1
1106618,15993,1399,1
1997632,20196,2269,1
1731572,19554,1136,1
846631,18717,1593,1
752231,16448,1531,1
1755533,17965,1624,1
2049559,16884,1899,1
1132076,19501,2299,1
1836644,20192,1462,1
1314084,18082,2040,1
71731,17970,1816,1
965842,19266,1557,1
918616,21892,2030,1
596812,14061,848,1
1469401,19674,1498,1
252796,19239,1896,1
32993,16928,1659,1
1276986,17785,1438,1
1079396,18401,1397,1
1723967,15272,1246,1
580486,18663,1628,1
1400547,17409,1579,1
1882540,16512,1789,1
1252119,17904,1722,1
1346533,19008,1527,1
1514367,20020,1412,1
1242773,18596,1173,1
854271,16928,1659,1
733929,20063,2390,1
595511,19275,1896,1
193629,20903,2181,1
1147101,18261,1584,1
423861,19926,1657,1
1598831,19444,1411,1
1221875,13110,1328,1
1908621,17121,1723,1
1743546,17298,1321,1
193621,17770,1033,1
231868,18811,1764,1
1823379,15987,1626,1
356540,19158,1466,1
271049,19915,1947,1
650064,16360,1876,1
70408,21421,1097,1
525690,20493,1752,1
1731552,15964,2195,1
778821,20700,1727,1
1950138,20493,1752,1
1772990,18080,1013,1
1632441,19623,1534,1
629470,17549,1958,1
1525028,16233,1657,1
591150,6203,969,1
762485,21038,1809,1
535019,8976,593,1
398396,22718,1598,1
1367476,19427,1647,1
1045980,19836,1629,1
1035709,17435,1414,1
1233831,20143,1623,1
977857,16641,1366,1
870379,17466,1501,1
207300,9257,1031,1
1354188,18782,1370,1
1852766,17934,1533,1
1236917,16971,1209,1
2057133,17549,1958,1
444736,16640,1366,1
1495587,20331,2050,1
686826,21144,2251,1
1946929,19318,2717,1
1532160,17006,1780,1
859113,18911,1562,1
919985,20490,1553,1
1319731,17634,1583,1
847132,10522,1067,1
1499959,19197,1890,1
2057127,17444,1739,1
1638566,15638,2297,1
990811,19782,1473,1
1732075,16971,1209,1
1696430,17643,1721,1
1574806,15351,1247,1
1837146,17987,2064,1
216278,17495,1776,1
1885661,16125,1616,1
1863437,17972,1472,1
19162,19141,1605,1
1594431,18732,2033,1
794083,23001,1220,1
444761,19090,1841,1
77892,17346,1589,1
804851,17987,2064,1
787796,18282,2116,1
1629621,21875,1737,1
349317,20368,1712,1
1453012,22049,1937,1
591107,16323,2323,1
673502,17678,1211,1
881043,20702,1429,1
1392457,17439,1214,1
835106,18123,1132,1
1954538,17138,902,1
96152,19506,1278,1
824453,17395,1783,1
904030,17179,1759,1
1954532,18729,1581,1
660200,17233,1612,1
376187,20331,2050,1
581794,20196,2269,1
1885677,17892,2235,1
1380475,15103,1362,1
580461,18892,2206,1
1369240,19065,2263,1
1944302,17163,1897,1
1208008,17893,2235,1
984199,10952,1537,1
206009,10510,1340,1
1298361,20522,2020,1
183441,17473,1513,1
415384,16746,1225,1
871672,19328,1746,1
884977,17410,1579,1
474586,16273,1299,1
1565051,18927,2037,1
685539,18706,2308,1
1164505,19652,1685,1
162509,15251,2010,1
710414,18739,2263,1
1455657,18440,1665,1
587043,16062,1125,1
1307724,16943,1471,1
233616,19820,1534,1
1652892,17217,2264,1
694491,17610,1598,1
1565062,17969,1816,1
2090691,18329,1342,1
587055,16527,1675,1
1161488,18663,1628,1
575073,17138,902,1
1897606,20193,1462,1
1059756,19444,1539,1
25802,18907,1676,1
33434,17410,1579,1
1476568,19201,1607,1
1421418,17851,1413,1
756638,17619,2272,1
1861684,21002,1885,1
856067,19089,1841,1
637018,18481,2240,1
379254,17683,2164,1
340936,21536,1631,1
1906057,18951,1973,1
1383548,19200,1607,1
1349555,19920,1691,1
36486,17702,1739,1
1969647,18122,1132,1
1246313,17816,1569,1
1578455,19347,1972,1
1875369,16090,2405,1
1906065,18643,1200,1
1781070,11082,1462,1
258967,18612,2359,1
2082974,17747,1400,1
680685,17466,1501,1
909776,19800,1381,1
1357174,18908,1676,1
265272,21591,1982,1
1062596,19347,1972,1
1760129,18152,1321,1
73436,19908,1554,1
1892706,17623,2274,1
1765818,16457,1463,1
784784,16434,1226,1
818521,19571,1922,1
725559,17116,2119,1
634799,19564,2424,1
1898006,17152,1172,1
1086555,20173,1698,1
1936703,18683,1197,1
931698,18400,1551,1
1738212,19933,2450,1
1991592,16925,1590,1
590785,21661,2552,1
1849090,17648,1486,1
8672,19054,2224,1
1652808,19014,1524,1
241275,12040,2169,1
968967,20136,2296,1
637839,20720,1074,1
692659,19300,1304,1
1369183,17233,1612,1
1695977,12569,1747,1
1935406,11093,1469,1
552471,14061,848,1
963275,17310,1425,1
656123,20142,1623,1
608482,7643,696,1
120607,17874,1468,1
7339,19564,2424,1
1048262,10951,1537,1
1383457,17986,1715,1
737536,20868,1657,1
266580,19496,1941,1
152250,15680,1593,1
1409736,18081,2095,1
36450,15922,1090,1
1843798,8097,873,1
1542464,19008,1532,1
486500,21181,1626,1
1623490,17295,2040,1
72120,17673,2174,1
1817444,19444,1539,1
2043478,9133,1550,1
544838,19347,1972,1
47101,18702,978,1
1626521,12630,824,1
302771,18551,2298,1
346310,20213,1653,1
1947415,17606,1366,1
1109689,21709,2439,1
291511,20892,1480,1
1575381,18410,1556,1
754085,19956,1750,1
1260667,19347,1972,1
2078034,19183,2847,1
1485450,19197,1890,1
1386541,18526,1779,1
267010,6785,810,1
1175115,17577,1158,1
359592,18986,1761,1
1809880,11853,1293,1
887962,18789,2313,1
887960,18241,1666,1
1772176,16363,1655,1
269657,18557,1368,1
169093,6791,641,1
523977,20674,1438,1
1574042,16852,1587,1
218084,21081,1770,1
859038,19894,1882,1
870289,20994,2115,1
1117298,16362,1801,1
554218,9077,1216,1
412282,17381,1363,1
121980,22725,2706,1
2080368,17785,1438,1
25792,20121,1562,1
886626,16383,1413,1
173102,17987,2064,1
941089,17631,1634,1
376940,21132,1383,1
130895,16773,1519,1
865729,14060,848,1
1132882,10629,703,1
97456,17969,1816,1
1606070,6129,827,1
1578431,19506,1278,1
277274,18041,1368,1
331284,21829,3327,1
2010544,21191,1406,1
1142213,14061,848,1
2055411,15251,1562,1
1756058,20903,2181,1
1694681,19152,1718,1
1465836,19673,1498,1
231065,16552,1633,1
572089,19347,1972,1
115296,18086,1497,1
767374,20522,2020,1
733140,20277,2542,1
1168815,19197,1890,1
442925,19427,1647,1
544881,15881,1728,1
53898,18919,1484,1
2096715,8755,562,1
944133,20996,1996,1
69324,17285,1631,1
965076,18751,1924,1
1871836,17866,1143,1
1402234,21053,1283,1
111758,4726,781,1
1612730,19326,2700,1
117066,21609,1579,1
615627,19195,1601,1
1549048,20884,1460,1
383251,19570,2121,1
1959437,18678,1777,1
1373261,19956,1750,1
1366970,18371,1983,1
992688,19015,1802,1
1217836,7720,946,1
405929,17610,2125,1
1903877,19008,1527,1
829257,18177,1822,1
1377615,7339,742,1
40570,19235,909,1
1878482,14061,848,1
535082,18654,1922,1
20986,14338,2451,1
716681,17453,1563,1
805298,20276,2542,1
1459134,19894,1882,1
1510830,19158,1466,1
1322580,18428,1920,1
1549032,18927,2037,1
590704,19031,1553,1
1618056,17341,1649,1
603629,19008,1532,1
69348,16830,1236,1
855567,20369,1712,1
1738264,19850,1488,1
471413,17268,1616,1
1901230,9330,1351,1
1718690,19858,1471,1
1899383,20577,1412,1
267034,17972,1098,1
736288,10339,1470,1
69340,17022,1814,1
1979024,18419,1707,1
2066972,21749,1792,1
1009525,17299,1721,1
823913,17342,1649,1
515472,21420,1097,1
20967,18807,1990,1
741636,17343,1700,1
1249417,19955,1750,1
1119013,7337,641,1
1061215,18706,2308,1
1313613,20995,1996,1
1554434,19008,1437,1
57379,8309,714,1
271995,18807,1505,1
437544,16364,1655,1
2094112,19646,1588,1
1731611,17382,1261,1
1217871,19235,909,1
1671980,22021,1594,1
620186,15726,1650,1
810677,18940,1612,1
518531,16820,2198,1
1764533,19015,1524,1
949863,16448,1531,1
41879,19683,1649,1
1803705,20619,2279,1
1492555,20950,2023,1
1823310,19166,1906,1
1230858,12630,824,1
736263,18261,1584,1
410496,17204,1694,1
1095464,19208,1435,1
1813981,15998,1739,1
974810,6204,526,1
353418,6366,1006,1
1925213,15924,1532,1
1695941,6311,704,1
1039362,17637,1565,1
96972,20949,2023,1
1241516,17549,1958,1
728622,20188,2021,1
956179,6790,641,1
1739582,20997,1529,1
2082142,16614,1358,1
1622104,17432,1892,1
730971,8977,593,1
750540,18869,1365,1
969451,19181,1465,1
1871817,18499,1781,1
109455,16090,1363,1
1078914,19089,1139,1
1727579,21422,1862,1
1444056,18612,1398,1
1946142,18400,1397,1
699254,18086,1497,1
730966,18032,1737,1
737575,17844,1931,1
273748,15636,1756,1
645418,21279,1917,1
1747170,21955,2404,1
73415,17643,1378,1
1322523,21053,2139,1
374355,17431,1892,1
1283332,20930,1504,1
969466,7487,905,1
941906,17702,1739,1
715332,18510,1491,1
1551364,16458,1380,1
197158,20126,1564,1
1481697,18672,1305,1
2051549,20109,2409,1
813863,20626,2014,1
2013273,21955,2404,1
614267,20926,1738,1
183761,19664,1819,1
298620,19049,1473,1
1504898,20703,1429,1
1229412,20918,1796,1
592391,18401,1397,1
304161,15761,1820,1
400873,18776,1751,1
992045,17571,1619,1
1713815,21937,2575,1
1987765,22329,2147,1
1948150,19808,1215,1
384298,19817,1730,1
790661,19998,1937,1
530908,19089,1841,1
2075534,19077,3260,1
170430,17648,1486,1
1454086,19048,1473,1
1401559,17291,2151,1
1642537,18026,2330,1
1434450,19235,909,1
1263311,17662,1697,1
1916572,17922,1464,1
1834151,19856,1617,1
674787,19801,1381,1
1209830,20635,1999,1
925233,16233,1657,1
1276675,17290,2151,1
801862,18449,1622,1
1939208,19622,1534,1
2087525,20675,1438,1
1472727,19833,2120,1
92759,18664,1628,1
1492370,19955,1750,1
1975742,19032,1928,1
793703,19834,2120,1
328117,22412,1603,1
2079904,12630,824,1
1535130,19301,1338,1
952821,18664,1628,1
1412224,17024,2235,1
1205461,20863,2042,1
390983,19010,1314,1
1778371,19347,1972,1
2004343,6205,526,1
723831,17218,2264,1
388680,16333,1736,1
174818,13110,1328,1
1846142,18865,1515,1
1629590,20156,2086,1
77124,18330,1554,1
1524498,18400,1397,1
1335508,17469,1576,1
340699,16364,1204,1
2017643,17489,1467,1
731443,17728,1785,1
2083172,20205,1619,1
6936,16097,1052,1
136570,16615,1358,1
214139,16148,1179,1
295558,16491,2275,1
571405,17561,1260,1
313073,9684,220,1
2061796,20967,1785,1
235093,18822,1558,1
714076,20559,1773,1
419467,17489,1467,1
2059479,18985,1761,1
272033,10498,759,1
938574,17631,1634,1
1583686,19495,1941,1
1882651,20891,1480,1
865037,19817,2233,1
697497,19283,2317,1
492974,19201,1607,1
865019,19577,1475,1
329408,17947,1992,1
265730,20556,2502,1
715390,17623,2274,1
1001822,16643,1303,1
1229444,17611,1751,1
2087553,18401,2186,1
103653,16430,1291,1
816938,18084,2536,1
1083765,16291,1124,1
939891,19141,1605,1
1028085,18481,2240,1
1276624,16554,1436,1
1822171,18823,2333,1
629339,17487,1565,1
69530,19318,1647,1
937230,15251,2010,1
1822174,20926,1738,1
697469,6311,704,1
1480300,18941,1535,1
240423,20348,1606,1
2080929,17978,2798,1
317411,16381,1120,1
1388022,18789,2313,1
1932614,17549,1958,1
128920,19352,1907,1
418150,18419,1707,1
1074829,18860,3135,1
1459714,18281,2116,1
1540524,14086,916,1
1201916,16183,1511,1
38398,17341,1649,1
1999729,17217,2264,1
1101250,18122,1132,1
1835458,12568,1747,1
1667873,17704,1337,1
354488,17692,1231,1
836515,16009,1414,1
1336870,8190,1039,1
1781105,18605,2184,1
744700,20019,1427,1
1823484,16814,2198,1
714084,18793,2656,1
787081,14061,848,1
1547150,17662,1696,1
511781,18308,1773,1
164603,17396,1783,1
1379128,16233,1657,1
1614473,18568,1038,1
1056187,18235,1646,1
48628,21572,1954,1
10019,18733,2033,1
115680,17029,1207,1
1381453,19143,2059,1
1991853,19792,1195,1
1087254,18859,2181,1
1385812,17803,1183,1
1131984,16898,2191,1
4343,7643,696,1
1813262,20523,2020,1
1155936,19240,1412,1
928330,20994,1629,1
1116329,20448,1571,1
1663413,17789,1486,1
77985,9953,1843,1
1325295,18371,1983,1
1180901,19347,1972,1
15715,20507,1635,1
1494146,17562,1223,1
15712,20407,1560,1
1494148,19674,2354,1
1796195,18400,1551,1
64694,21002,1885,1
287114,17726,1715,1
1939292,17648,1486,1
185523,19166,1906,1
1596977,21746,3033,1
1233506,16322,2323,1
580336,16363,1801,1
1066335,18235,1521,1
862889,18086,1497,1
452016,17548,2352,1
1106999,19317,1519,1
620990,12629,824,1
1455313,20559,1773,1
721255,17600,1226,1
2027844,19835,1556,1
2010176,21465,1923,1
2014530,20989,1791,1
1253108,21662,2552,1
1629516,11082,1429,1
1513766,11383,1572,1
268856,19674,2354,1
1617541,17864,1372,1
1713869,21180,1626,1
1305659,16096,1052,1
297336,18907,1676,1
365191,18517,1818,1
297330,16668,1971,1
1808716,15382,1587,1
1906384,15819,1364,1
1707191,15993,1399,1
953336,20930,1504,1
869478,20920,1602,1
211950,18371,1983,1
1288670,7466,1155,1
290711,19665,1819,1
1269504,18865,1515,1
285368,18740,1430,1
966656,19302,1430,1
889064,17431,1892,1
1280718,17640,1273,1
1117699,18908,2583,1
815693,17712,1414,1
198823,7721,946,1
742153,14061,848,1
1749818,17254,1506,1
1236601,6121,916,1
1326584,17713,1414,1
11311,21988,1643,1
673451,17883,2397,1
1080655,18907,1676,1
564293,17002,1845,1
1197774,21465,1923,1
474236,15924,1532,1
513541,17171,1963,1
1837225,18597,1868,1
407458,20501,1811,1
593615,20926,1738,1
65109,16364,1655,1
2035400,17801,1162,1
1931368,15958,1599,1
1497224,18235,1422,1
1241160,20448,1571,1
1943316,19317,1425,1
1188816,18082,2095,1
1599181,18032,1737,1
1287379,19836,1629,1
500215,17595,1618,1
1196426,20122,1562,1
1688712,19266,1234,1
1829621,17466,1501,1
1880065,17511,1818,1
1418361,17298,1321,1
589598,18309,1773,1
302331,17892,2235,1
6110,17921,1881,1
770252,18734,1637,1
393107,17728,1785,1
116009,19091,2424,1
374824,21571,1954,1
1223310,19958,2129,1
1187497,21586,1582,1
40624,17120,1142,1
1089957,19143,2059,1
1039698,16111,1224,1
1751308,19618,1217,1
1250941,17937,2121,1
1213994,18643,1864,1
1943386,20508,1635,1
208364,20884,1460,1
1158920,15761,1820,1
1656259,10522,1067,1
40608,20925,1738,1
105331,21283,1314,1
1212680,18526,1779,1
96203,20142,1623,1
1772261,19066,1951,1
2024863,20469,1988,1
1702399,20461,1659,1
2000894,15102,960,1
1686907,19171,1826,1
386827,21053,2139,1
151265,20926,1738,1
1317709,18542,2350,1
1349217,17904,1722,1
1237943,18542,2350,1
1360498,15915,1655,1
2065364,21828,3327,1
1453536,18779,1168,1
590658,21279,1917,1
539386,20382,2091,1
539385,20130,1522,1
1337249,16117,1267,1
104006,18365,1615,1
1691480,16364,1853,1
108423,18140,1276,1
2041384,17937,2059,1
483106,21989,1643,1
1862124,16484,1209,1
1351556,18499,1781,1
1820326,20745,1488,1
446167,19166,1906,1
2079003,17320,1845,1
551078,19337,1290,1
381150,16060,1534,1
2052043,18612,2359,1
259974,18365,1615,1
1001032,16513,1703,1
1981617,16090,1363,1
1362210,19512,1622,1
11269,22021,1594,1
266280,19015,1802,1
1990563,17424,1132,1
505182,17977,2798,1
565653,19800,1381,1
1461139,19014,1524,1
1337261,17362,2250,1
1933119,19570,1922,1
464830,17936,2059,1
1819320,7486,905,1
279576,18366,1464,1
809736,20203,2290,1
1990578,17400,1177,1
766183,17865,1141,1
1528090,17005,1780,1
395782,19159,1466,1
2065333,20130,1522,1
394459,18078,1943,1
25883,17549,1958,1
1744199,19183,2847,1
1639753,16382,1120,1
1310270,20379,1623,1
1668273,20843,2145,1
1337278,17777,1437,1
1334236,20735,1713,1
